"antibodyName","Correlation","Entropy","Contrast","Homogeneity","Energy","Mean","Std","Potency","IT","Analysis"
"AK23",0.925370826843143,4.55741180444435,0.280425455920647,0.893284145647981,0.367696979432213,0.176899644041617,0.184244603708501,27.5267793168539,"Dsg3","Original"
"AntiTPO",0.867760394871093,3.68949684486793,0.23557200241324,0.903374965985264,0.43662953094891,0.132102535519074,0.117494170675877,20.340460108109,"Dsg3","Original"
"AtS13",0.880913164022447,6.11946977708774,0.283621546353966,0.883863631226689,0.343097820534884,0.165434009307375,0.137550797229075,56.5451847523931,"Dsg3","Original"
"Control",0.905785347072142,4.13180350615136,0.242935455879983,0.903584534143991,0.432642607919336,0.135878591650942,0.146059186209594,0,"Dsg3","Original"
"HLA",0.885452882906965,4.17284144484648,0.285018615447403,0.877531047002007,0.301058295238335,0.182340857144942,0.140496813612522,11.2999449944612,"Dsg3","Original"
"PVIgG",0.845336584249885,5.83573625767576,0.300588892715029,0.875174351949023,0.3298407325342,0.162462690786218,0.121491538278228,55.1839777858517,"Dsg3","Original"
"PX43",0.860581820432422,3.6633317575757,0.281370135700439,0.881840062068497,0.35499408252394,0.15710282510005,0.125286939174019,22.5928749772552,"Dsg3","Original"
"PX44",0.846447724459075,3.60648043540739,0.256889567816209,0.893561757348398,0.402750613060437,0.143316528993799,0.112420795357792,25.4114799005508,"Dsg3","Original"
"AK23",0.940567692697519,4.82930844652816,0.331596459544944,0.886471252384712,0.362034014929241,0.213601488142037,0.22182085334798,78.0174648220944,"Dsg3","-2ug/ml"
"AntiTPO",0.867566177174963,3.68639740098146,0.236719937120066,0.903556151410656,0.439143508890303,0.131466019054432,0.118039046040982,28.535869279982,"Dsg3","-2ug/ml"
"AtS13",0.881311138781516,6.0873286367975,0.275580679692549,0.886953473983461,0.353899710005903,0.160964174702369,0.137419012105293,60.749187449105,"Dsg3","-2ug/ml"
"Control",0.905785347072142,4.13180350615136,0.242935455879983,0.903584534143991,0.432642607919336,0.135878591650942,0.146059186209594,0,"Dsg3","-2ug/ml"
"HLA",0.889219053714077,4.2681008201317,0.29618809815325,0.870488164728089,0.270773287680598,0.19889170039493,0.146380167913533,22.461504564071,"Dsg3","-2ug/ml"
"PVIgG",0.848663904156507,5.79177996703481,0.295886644219978,0.877536087233162,0.336017518279728,0.159017148042876,0.12245651771234,63.201884107729,"Dsg3","-2ug/ml"
"PX43",0.86631608661571,3.62586357173308,0.284815294357718,0.880079825655546,0.349234218876367,0.160971981218227,0.128307693065062,31.3664636905926,"Dsg3","-2ug/ml"
"PX44",0.834209320522127,3.44061855091878,0.247701142962342,0.898051179644294,0.434882200067296,0.128485778590712,0.104953092897277,43.3223066358477,"Dsg3","-2ug/ml"
"AK23",0.908877791547979,4.19413275692643,0.243577332670135,0.901636828403585,0.37785425674005,0.15755519353927,0.147535261788964,5.9987889980572,"Dsg3","-10ug/ml"
"AntiTPO",0.867931834682468,3.69610032473731,0.234944390152574,0.903242964351158,0.435271354259526,0.132650993728594,0.117119326303057,20.6720866229376,"Dsg3","-10ug/ml"
"AtS13",0.880728030388989,6.1552362143601,0.292352907866544,0.881325160952964,0.334455484578877,0.169220543031064,0.137550797229075,58.4439772976344,"Dsg3","-10ug/ml"
"Control",0.905785347072142,4.13180350615136,0.242935455879983,0.903584534143991,0.432642607919336,0.135878591650942,0.146059186209594,0,"Dsg3","-10ug/ml"
"HLA",0.882714860975063,4.09092819445499,0.270152953780227,0.88498813319786,0.338239679386495,0.168932705838444,0.135996395861661,10.7833691804761,"Dsg3","-10ug/ml"
"PVIgG",0.839115080231463,5.85978996585057,0.305874820383975,0.873343200778832,0.324218293347668,0.164094060168013,0.120432638688372,56.8199227114571,"Dsg3","-10ug/ml"
"PX43",0.85900730848755,3.68417798132645,0.275907407871182,0.883575416213815,0.362766836937754,0.154455008055573,0.122224216884138,22.8483270112363,"Dsg3","-10ug/ml"
"PX44",0.858995469783498,3.71966741783419,0.266128308335884,0.890328329592219,0.384314256517032,0.151751470009271,0.121768260658405,21.4317458382874,"Dsg3","-10ug/ml"
